x: -14.7067, y: 1.8595, theta: 66.12
Source: -18.1563, -9.6794, Error: 2.8932, Degree: 0
Source: -18.2365, -9.7194, Error: 3.0030, Degree: 0
Source: -18.1563, -9.7194, Error: 3.0245, Degree: 0
Source: -18.0762, -9.6794, Error: 2.9149, Degree: 0
Source: -18.0762, -9.7194, Error: 3.0461, Degree: 0
Source: -17.9960, -9.7194, Error: 3.0678, Degree: 0
Source: -18.0762, -9.7595, Error: 3.1752, Degree: 0
Source: -17.9960, -9.7996, Error: 3.3233, Degree: 0
Source: -17.9158, -9.8397, Error: 3.4686, Degree: 0
Source: -17.9158, -9.8798, Error: 3.5898, Degree: 0
Source: -17.8357, -9.8798, Error: 3.6109, Degree: 0
Source: -17.9158, -9.9198, Error: 3.7085, Degree: 0
Source: -17.9960, -9.8798, Error: 3.5688, Degree: 0
Source: -17.9960, -9.8397, Error: 3.4473, Degree: 0
Source: -17.9158, -9.7595, Error: 3.2183, Degree: 0
Source: -17.9960, -9.7595, Error: 3.1967, Degree: 0
Source: -17.9158, -9.7996, Error: 3.3447, Degree: 0
Source: -17.9158, -9.6794, Error: 2.9583, Degree: 0
Source: -17.8357, -9.6794, Error: 2.9801, Degree: 0
Source: -17.9158, -9.6393, Error: 2.8252, Degree: 0
Source: -17.9960, -9.6393, Error: 2.8034, Degree: 0
Source: -17.9158, -9.5992, Error: 2.6903, Degree: 0
Source: -17.9960, -9.5591, Error: 2.5326, Degree: 0
Source: -18.0762, -9.5992, Error: 2.6468, Degree: 0
Source: -18.1563, -9.5591, Error: 2.4894, Degree: 0
Source: -18.0762, -9.5591, Error: 2.5109, Degree: 0
Source: -17.9158, -9.5190, Error: 2.4177, Degree: 0
Source: -17.8357, -9.5190, Error: 2.4393, Degree: 0
Source: -17.7555, -9.4790, Error: 2.3242, Degree: 0
Source: -17.7555, -9.4389, Error: 2.1889, Degree: 0
Source: -17.6754, -9.4790, Error: 2.3456, Degree: 0
Source: -17.6754, -9.5190, Error: 2.4826, Degree: 0
Source: -17.5952, -9.4790, Error: 2.3671, Degree: 0
Source: -17.5150, -9.4790, Error: 2.3887, Degree: 0
Source: -17.4349, -9.4790, Error: 2.4104, Degree: 0
Source: -17.3547, -9.4389, Error: 2.2947, Degree: 0
Source: -17.2745, -9.4790, Error: 2.4540, Degree: 0
Source: -17.1944, -9.4389, Error: 2.3378, Degree: 0
Source: -17.1944, -9.3988, Error: 2.2014, Degree: 0
Source: -17.2745, -9.3988, Error: 2.1804, Degree: 0
Source: -17.3547, -9.3587, Error: 2.0281, Degree: 0
Source: -17.4349, -9.3988, Error: 2.1386, Degree: 0
Source: -17.5150, -9.3988, Error: 2.1179, Degree: 0
Source: -17.5150, -9.4389, Error: 2.2521, Degree: 0
Source: -17.4349, -9.3587, Error: 2.0082, Degree: 0
Source: -17.5952, -9.3988, Error: 2.0974, Degree: 0
Source: -17.5150, -9.3587, Error: 1.9884, Degree: 0
Source: -17.5952, -9.3587, Error: 1.9688, Degree: 0
Source: -17.6754, -9.3186, Error: 1.8303, Degree: 0
Source: -17.6754, -9.3587, Error: 1.9494, Degree: 0
Source: -17.7555, -9.2786, Error: 1.7080, Degree: 0
Source: -17.6754, -9.2786, Error: 1.7237, Degree: 0
Source: -17.7555, -9.3186, Error: 1.8125, Degree: 0
Source: -17.7555, -9.3587, Error: 1.9302, Degree: 0
Source: -17.7555, -9.3988, Error: 2.0567, Degree: 0
Source: -17.8357, -9.3186, Error: 1.7950, Degree: 0
Source: -17.6754, -9.2385, Error: 1.6352, Degree: 0
Source: -17.6754, -9.1984, Error: 1.5710, Degree: 0
Source: -17.5952, -9.2385, Error: 1.6486, Degree: 0
Source: -17.5952, -9.1984, Error: 1.5811, Degree: 0
Source: -17.5150, -9.2385, Error: 1.6625, Degree: 0
Source: -17.4349, -9.2385, Error: 1.6767, Degree: 0
Source: -17.4349, -9.2786, Error: 1.7728, Degree: 0
Source: -17.5150, -9.2786, Error: 1.7562, Degree: 0
Source: -17.5150, -9.1984, Error: 1.5917, Degree: 0
Source: -17.6754, -9.1583, Error: 1.5384, Degree: 0
Source: -17.6754, -9.1182, Error: 1.5437, Degree: 0
Source: -17.6754, -9.0782, Error: 1.5915, Degree: 0
Source: -17.6754, -9.0381, Error: 1.6834, Degree: 0
Source: -17.7555, -9.0381, Error: 1.6926, Degree: 0
Source: -17.7555, -8.9980, Error: 1.8320, Degree: 0
Source: -17.8357, -9.0782, Error: 1.6008, Degree: 0
Source: -17.9158, -9.0381, Error: 1.7127, Degree: 0
