Source: 13.2800, 5.8400, Error: 1.2051, Degree: 0
Source: 13.2000, 5.8400, Error: 1.2057, Degree: 0
Source: 13.1200, 5.8400, Error: 1.2696, Degree: 0
Source: 13.1200, 5.8000, Error: 1.2759, Degree: 0
Source: 12.9600, 5.7200, Error: 1.5310, Degree: 0
Source: 12.8800, 5.7200, Error: 1.6696, Degree: 0
Source: 12.7200, 5.6400, Error: 1.9714, Degree: 0
Source: 12.5600, 5.5600, Error: 2.2361, Degree: 0
Source: 12.4800, 5.5600, Error: 2.2361, Degree: 0
Source: 12.4800, 5.5200, Error: 2.2361, Degree: 0
Source: 12.3200, 5.5200, Error: 2.2361, Degree: 0
Source: 12.2400, 5.5200, Error: 2.2361, Degree: 0
Source: 12.0800, 5.4800, Error: 2.2361, Degree: 0
Source: 12.0800, 5.4400, Error: 2.2361, Degree: 0
Source: 11.9200, 5.3600, Error: 2.2361, Degree: 0
Source: 11.7600, 5.3200, Error: 2.2361, Degree: 0
Source: 11.6000, 5.3200, Error: 2.2361, Degree: 0
Source: 11.6000, 5.2400, Error: 2.2361, Degree: 0
Source: 11.6000, 5.2000, Error: 2.2361, Degree: 0
Source: 11.4400, 5.2000, Error: 2.2361, Degree: 0
Source: 11.3600, 5.2000, Error: 2.2361, Degree: 0
Source: 11.3600, 5.1200, Error: 2.2361, Degree: 0
Source: 11.2000, 5.0400, Error: 2.2361, Degree: 0
Source: 11.2000, 5.0000, Error: 2.2361, Degree: 0
Source: 11.2000, 4.9600, Error: 2.2361, Degree: 0
Source: 11.1200, 4.8800, Error: 2.2361, Degree: 0
Source: 11.1200, 4.8000, Error: 2.2361, Degree: 0
Source: 11.1200, 4.7200, Error: 2.2361, Degree: 0
Source: 11.0400, 4.6400, Error: 2.2361, Degree: 0
Source: 10.9600, 4.6400, Error: 2.2361, Degree: 0
Source: 10.9600, 4.6000, Error: 2.2361, Degree: 0
Source: 10.8800, 4.5200, Error: 2.2361, Degree: 0
Source: 10.7200, 4.4400, Error: 2.2361, Degree: 0
Source: 10.6400, 4.3600, Error: 2.2361, Degree: 0
Source: 10.5600, 4.2800, Error: 2.2361, Degree: 0
Source: 10.4000, 4.2000, Error: 2.2361, Degree: 0
Source: 10.3200, 4.1200, Error: 2.2361, Degree: 0
Source: 10.3200, 4.0800, Error: 2.2361, Degree: 0
Source: 10.3200, 4.0400, Error: 2.2361, Degree: 0
Source: 10.1600, 4.0000, Error: 2.2361, Degree: 0
Source: 10.0800, 3.9200, Error: 2.2361, Degree: 0
Source: 9.9200, 3.9200, Error: 2.2361, Degree: 0
Source: 9.9200, 3.8800, Error: 2.2361, Degree: 0
Source: 9.8400, 3.8000, Error: 2.2361, Degree: 0
Source: 9.8400, 3.7600, Error: 2.2361, Degree: 0
Source: 9.6800, 3.7200, Error: 2.2361, Degree: 0
Source: 9.5200, 3.7200, Error: 2.2361, Degree: 0
Source: 9.3600, 3.7200, Error: 2.2361, Degree: 0
Source: 9.3600, 3.6800, Error: 2.2361, Degree: 0
Source: 9.2800, 3.6800, Error: 2.2361, Degree: 0
Source: 9.1200, 3.6000, Error: 2.2361, Degree: 0
Source: 8.9600, 3.5200, Error: 2.2361, Degree: 0
Source: 8.9600, 3.4400, Error: 2.2361, Degree: 0
Source: 8.8000, 3.4400, Error: 2.2361, Degree: 0
Source: 8.7200, 3.4400, Error: 2.2361, Degree: 0
Source: 8.6400, 3.4400, Error: 2.2361, Degree: 0
Source: 8.5600, 3.4400, Error: 2.2361, Degree: 0
Source: 8.4000, 3.3600, Error: 2.2361, Degree: 0
Source: 8.3200, 3.2800, Error: 2.2361, Degree: 0
Source: 8.2400, 3.2800, Error: 2.2361, Degree: 0
Source: 8.2400, 3.2400, Error: 2.2361, Degree: 0
Source: 8.0800, 3.2000, Error: 2.2361, Degree: 0
Source: 8.0800, 3.1200, Error: 2.2361, Degree: 0
Source: 8.0800, 3.0400, Error: 2.2361, Degree: 0
Source: 8.0000, 2.9600, Error: 2.2361, Degree: 0
Source: 7.8400, 2.9600, Error: 2.2361, Degree: 0
Source: 7.7600, 2.8800, Error: 2.2361, Degree: 0
Source: 7.6800, 2.8800, Error: 2.2361, Degree: 0
Source: 7.6800, 2.8400, Error: 2.2361, Degree: 0
Source: 7.5200, 2.7600, Error: 2.2361, Degree: 0
Source: 7.4400, 2.7600, Error: 2.2361, Degree: 0
Source: 7.2800, 2.7200, Error: 2.2361, Degree: 0
